id,player_name,height,weight,team_id,entry_age
169,Peyton Watson,203,90,14,20
170,Klay Thompson,196,97,25,24
171,Austin Reaves,196,93,5,24
172,Ja Morant,188,78,6,20
173,Jordan Clarkson,190,87,7,23
174,LaMelo Ball,201,81,30,20
175,Kevin Durant,211,108,12,21
176,Tim Hardaway Jr.,196,92,17,22
177,Justin Jackson,203,99,31,23
178,Collin Sexton,190,86,7,20
179,Anfernee Simons,190,82,23,20
180,Terry Rozier,185,86,11,22
181,Rodions Kurucs,206,103,31,20
182,Cade Cunningham,198,99,17,21
183,T.J. Warren,203,99,31,23
184,Jalen Williams,198,99,18,22
185,Mikal Bridges,198,94,16,23
186,Coby White,196,88,3,20
187,Tyrese Haliburton,196,83,4,21
188,DeAndre Jordan,211,120,14,21
189,Victor Wembanyama,221,106,24,20
190,Thomas Bryant,208,112,4,21
191,Jalen Brunson,188,86,16,23
192,JD Davison,185,88,15,21
193,Cam Thomas,193,95,28,21
